term,weight
call,494
get,309
ur,297
gt,259
lt,257
free,231
go,228
ok,223
got,218
know,210
day,204
good,197
come,188
like,177
love,174
time,165
want,163
send,153
text,152
txt,148
da,136
home,136
need,135
going,134
sorry,134
lor,132
today,130
stop,129
one,128
see,121
still,121
take,120
reply,118
dont,117
back,116
new,115
hi,111
later,109
please,108
pls,105
tell,104
mobile,104
think,98
hope,97
phone,97
week,96
dear,94
claim,94
night,93
great,92
happy,92
hey,91
wat,87
yes,85
oh,85
na,85
way,85
msg,84
well,83
much,81
work,81
message,81
give,80
amp,78
yeah,77
make,77
right,76
cash,75
already,75
life,75
ask,72
number,72
say,72
wan,71
anything,71
said,69
miss,69
tomorrow,69
thanks,68
prize,67
im,67
cos,66
would,64
babe,64
really,63
last,63
win,63
find,62
morning,61
first,61
care,60
meet,59
also,59
urgent,58
every,58
let,58
pick,57
nokia,55
sure,55
box,55
