message,lemmas
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only in bugis n great world la e buffet Cine there get amore wat
Ok lar... Joking wif u oni...,ok lar joke wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in a wkly comp to win FA Cup final tkts May text fa to to receive entry txt apply
U dun say so early hor... U c already then say...,u dun say so early hor u c already then say
"Nah I don't think he goes to usf, he lives around here though",Nah I do think he go to usf he live around here though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",FreeMsg hey there darle it be week now and no word back I like some fun you up for it still tb ok XxX std chgs to send to rcv
Even my brother is not like to speak with me. They treat me like aids patent.,even my brother be not like to speak with I they treat I like aids patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request Melle Melle Oru Minnaminunginte Nurungu Vettam have be set as your callertune for all Callers press to copy your friend Callertune
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER as a value network customer you have be select to receivea prize reward to claim call claim code valid hour only
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,have your mobile month or more U R entitle to update to the late colour mobile with camera for free call the Mobile Update Co free on
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",I go to be home soon and I do want to talk about this stuff anymore tonight k I cry enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chance to win cash from to pound txt and send to Cost day tsandcs apply Reply HL info
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT you have win a week free membership in our Prize Jackpot txt the word claim to no LCCLTD POBOX
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I be search for the right word to thank you for this breather I promise I will not take your help for grant and will fulfil my promise you have be wonderful and a blessing at all time
