метка,сообщение,обработанный_текст
хам,Aaaааа. Работа. Смутно помню это! Как это чувствуется? Лол,ааа работа смутно помню это как это чувствуется лол
спам,"XXXМобильКлуб: Чтобы использовать ваш кредит, щелкните ссылку WAP в следующем сообщении http://wap.xxxclub.com QJKGIGHJJGCBL",мобильклуб использовать ваш кредит щелкните ссылку следующем сообщении
хам,Как работа? Много дел?,как работа дел
спам,Курсы английского за 99 рублей в месяц! Гарантированный результат за 30 дней! Ограниченное предложение! Зарегистрируйся сейчас!,курсы английского рублей месяц гарантированный результат дней ограниченное предложение зарегистрируйся сейчас
хам,Смотрел твой фотоальбом! Очень красивые снимки!,смотрел твой фотоальбом очень красивые снимки
хам,Когда ты придешь? Я уже устала ждать...,придешь уже устала ждать
хам,"Я вернулась и мы упаковываем машину, дам тебе знать если будет место.",вернулась мы упаковываем машину дам тебе знать если будет место
хам,"Хорошо, если вы так чувствуете. Тогда пусть будет так.",если чувствуете пусть будет
хам,"Ока, помню. Когда приеду, обязательно позвоню тебе!",ока помню приеду обязательно позвоню тебе
хам,Кто может подменить мне в среду? Буду очень благодарна!,подменить среду буду очень благодарна
спам,"Россия против Сербии. Не пропустите голов и новости команды. Отправьте вашу страну на 87077 например РОССИЯ на 87077 Попробуйте: ФРАНЦИЯ, ГЕРМАНИЯ на текст 1 рубль 16+",россия против сербии пропустите голов новости команды отправьте вашу страну например россия попробуйте франция германия текст рубль
спам,Вкусная пицца за 199 рублей! Доставка 30 минут! Звоните 555-55-55!,вкусная пицца рублей доставка минут звоните
