label,message,processed_text
ham,"He will, you guys close?",guys close
ham,"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO",please come imin town dontmatter urgoin outl r reallyneed docd please dontplease dontignore mycalls u thecd isv important tome moro
ham,Ok k..sry i knw 2 siva..tats y i askd..,ok k sry knw siva tats askd
ham,"I'll see, but prolly yeah",see prolly yeah
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg",see swing bit got things take care firsg
ham,"I shall book chez jules for half eight, if that's ok with you?",shall book chez jules half eight ok
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,thanks message really appreciate sacrifice sure process direct pay find way back test tomorrow class wonderful day
ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",feb lt gt love u day send dis ur valued frnds evn comes back u gt married person u luv u ignore dis u lose ur luv evr
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.,ok chinese food way get fat paying lipo
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",free nokia motorola upto mths price linerental free x net mins txt mth free b tooth call mobileupd call optout wv
ham,Jus came back fr lunch wif my sis only. U leh?,jus came back fr lunch wif sis u leh
ham,Yup i'm elaborating on the safety aspects and some other issues..,yup elaborating safety aspects issues
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ok lor anyway thk cant get tickets cos like quite late already u wan go look ur frens darren wif
ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",helloooo wake sweet morning welcomes enjoy day full joy gud mrng
ham,Pls call me da. What happen.,pls call da happen
spam,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",call use ur mins calls cast p min mob vary service provided aom gbp month aom box er u stop ages
ham,Are u awake? Is there snow there?,u awake snow
ham,"Hmph. Go head, big baller.",hmph go head big baller
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",gon na blake night might able get little early
ham,Thanx a lot...,thanx lot
ham,Oh ic. I thought you meant mary jane.,oh ic thought meant mary jane
ham,Now got tv 2 watch meh? U no work today?,got tv watch meh u work today
