метка,сообщение,обработанный_текст
хам,Я позвоню как только приеду домой.,позвоню как приеду домой
хам,"Завтра выходной, долгожданный отпуск!",завтра выходной долгожданный отпуск
спам,Знакомства онлайн! Красивые девушки ждут вас! Более 10 млн активных пользователей! Присоединяйтесь к нам прямо сейчас!,знакомства онлайн красивые девушки ждут млн активных пользователей присоединяйтесь нам прямо сейчас
хам,"Попробую еще два месяца, хахаха только шутю.",попробую два месяца хахаха шутю
хам,"Не думаю, что он придет. Он живет далеко от сюда.",думаю придет живет далеко сюда
хам,"Хорошо, сначала ты платишь... Потом когда придет товар?",сначала платишь потом придет товар
хам,Давай встретимся в пятницу вечером как обычно?,давай встретимся пятницу вечером как обычно
хам,"Да, помню все. Позвоню на днях.",помню позвоню днях
спам,ПОЛУЧИ 100 ГБ ИНТЕРНЕТА БЕСПЛАТНО! Новые симки Мегафон дарят по 100 ГБ! Закажи свою сим карту прямо сейчас!,получи гб интернета бесплатно новые симки мегафон дарят гб закажи сим карту прямо сейчас
спам,Поздравляем! Вы выиграли 50000 рублей! Нажмите на ссылку http://bit.ly/win чтобы получить приз. Срок действия 5 часов!,поздравляем выиграли рублей нажмите ссылку получить приз срок действия часов
хам,Привет! Как прошел день?,привет как прошел день
хам,У МЕНЯ СВИДАНИЕ В ВОСКРЕСЕНЬЕ С ИВАНОМ!!,меня свидание воскресенье иваном
спам,НАЛОГОВАЯ СЛУЖБА: Вам вернули 45000 рублей! Для получения средств перейдите на сайт www.taxrefund.ru,налоговая служба вам вернули рублей для получения средств перейдите сайт
хам,Даже мой брат не хочет со мной говорить. Они относятся ко мне как к чуме.,брат хочет мной говорить относятся ко как чуме
хам,"Я искал правильные слова, чтобы поблагодарить вас за помощь. Обещаю, не буду принимать вашу помощь как должное и выполню мое обещание. Вы были чудесны и благословением.",искал правильные слова поблагодарить помощь обещаю буду принимать вашу помощь как должное выполню мое обещание были чудесны благословением
спам,СУПЕР ПРЕДЛОЖЕНИЕ! Интернет 50 Мб/с всего за 199 рублей в месяц! Первый месяц БЕСПЛАТНО! Подключитесь прямо сейчас!,супер предложение интернет мб всего рублей месяц первый месяц бесплатно подключитесь прямо сейчас
хам,"Ты помнишь, как писать его имя? Да, помню. Он такой хулиган.",помнишь как писать имя помню такой хулиган
хам,"Я скоро буду дома и не хочу больше об этом говорить, хорошо? Я хватит плакать в этот день.",скоро буду дома хочу больше об этом говорить хватит плакать день
спам,Кредит под залог только за 5 минут! Сумма до 500000 рублей! Одобрение 99%! Звоните сейчас: 8-800-777-77-77,кредит залог минут сумма рублей одобрение звоните сейчас
хам,"Заставил себя поесть кусочек. Я правда не голоден. Это ужас. Марк беспокоится. Он знает, что я болею когда отказываюсь от пиццы.",заставил поесть кусочек правда голоден это ужас марк беспокоится знает болею отказываюсь пиццы
хам,"Хорошо, договорились! До встречи!",договорились встречи
хам,"Спасибо за все, что ты сделала для меня!",спасибо сделала для меня
хам,Спасибо за приглашение на вечеринку! Как прекрасно было видеть всех вас!,спасибо приглашение вечеринку как прекрасно видеть
хам,"Ффффффф. Хорошо, я не смогу встретиться с тобой раньше?",ффффффф смогу встретиться тобой раньше
спам,"ШИХ шансов выиграть ДЕНЬГИ! От 1000 до 20000 рублей. Отправьте СОД11 на номер 77575. Стоимость 150р/день, 6 дней, 16+ Условия применяются. Ответьте ХЛ для информации",ших шансов выиграть деньги рублей отправьте сод номер стоимость р день дней условия применяются ответьте хл для информации
спам,Замуж за иностранца? Вот где найти принца без финансовых проблем? Читай нашу статью! Переходи по ссылке www.prince.ru,замуж иностранца найти принца финансовых проблем читай нашу статью переходи ссылке
хам,После обеда я пойду туда. Около 3 часов. Ты уже обед закончил?,после обеда пойду туда около часов уже обед закончил
хам,"О, ладно... смотрю тут :)",ладно смотрю тут
спам,МОБИЛЬНЫЙ КЛИЕНТ БРОСАЕТ вызов! Прими вызов выиграй новый смартфон! Жми SUBMIT TO 899 СТАРТ!,мобильный клиент бросает вызов прими вызов выиграй новый смартфон жми старт
хам,Не забудь купить молоко на обратном пути!,забудь купить молоко обратном пути
спам,"ПОБЕДИТЕЛЬ! Как ценный клиент сети, вы выбраны получить приз 90000 рублей! Позвоните 777-77-77. Кодовое слово: ABC123. Действительно 12 часов.",победитель как ценный клиент сети выбраны получить приз рублей позвоните кодовое слово действительно часов
хам,Ты серьезно так пишешь его имя?,серьезно пишешь имя
хам,"Как в комедии ""Ниже я спускаться не буду"" был установлен рингтон. Нажми звёздочку чтобы скопировать рингтон своих друзей.",как комедии ниже спускаться буду был установлен рингтон нажми звёздочку скопировать рингтон своих друзей
хам,"Не буду долго задерживаться, буду дома часов в 8.",буду долго задерживаться буду дома часов
хам,"Хах, ты всегда такая убедительная.",хах такая убедительная
спам,СРОЧНО! Вы выиграли БЕСПЛАТНОЕ членство на 1 неделю в нашей ЛОТЕРЕЕ 1000000 рублей! Отправьте слово: ВЫИГРЫШ на номер: 81010 Условия: www.win.ru SERVER DATA POBOX 4403,срочно выиграли бесплатное членство неделю нашей лотерее рублей отправьте слово выигрыш номер условия
спам,"Попробуй приложение для бизнеса! Заработок от 50000 рублей в месяц! Начни сегодня, платить начнешь через месяц!",попробуй приложение для бизнеса заработок рублей месяц начни сегодня платить начнешь через месяц
спам,СРОЧНО! У вас задолженность! Перейдите на сайт и оплатите немедленно! Штрафы растут каждый день!,срочно задолженность перейдите сайт оплатите немедленно штрафы растут каждый день
хам,Ты ловил автобус? Ты жарил яйцо? Ты сделал чай? Ты ешь остатки обеда мамы? Ты чувствуешь мою любовь?,ловил автобус жарил яйцо сделал чай ешь остатки обеда мамы чувствуешь мою любовь
хам,"Привет, как дела? Давно не видели друг друга. Когда сможешь встретиться?",привет как дела давно видели друг друга сможешь встретиться
спам,Похудей за месяц! Революционная диета доказана в университетах! Получи бесплатное руководство сегодня!,похудей месяц революционная диета доказана университетах получи бесплатное руководство сегодня
хам,Ты сегодня придешь? Готовлю ужин!,сегодня придешь готовлю ужин
спам,У вас есть мобильный 11 месяцев? Вы имеете право на обновление до новых моделей с камерой БЕСПЛАТНО! Звоните БЕСПЛАТНО 777-77-77,мобильный месяцев имеете право обновление новых моделей камерой бесплатно звоните бесплатно
спам,ВНИМАНИЕ! Ваша квартира выиграла в розыгрыше! Вот ваш приз 2 миллиона рублей! Позвоните незамедлительно 555-77-77,внимание квартира выиграла розыгрыше ваш приз миллиона рублей позвоните незамедлительно
